PMID,Title,Authors,Journal,Year,Month,Day
36106702,"Mortality and Morbidity Effects of Long-Term Exposure to Low-Level PM<sub>2.5</sub>, BC, NO<sub>2</sub>, and O<sub>3</sub>: An Analysis of European Cohorts in the ELAPSE Project.","Brunekreef B,Strak M,Chen J,Andersen ZJ,Atkinson R,Bauwelinck M,Bellander T,Boutron MC,Brandt J,Carey I,Cesaroni G,Forastiere F,Fecht D,Gulliver J,Hertel O,Hoffmann B,de Hoogh K,Houthuijs D,Hvidtfeldt U,Janssen N,Jorgensen J,Katsouyanni K,Ketzel M,Klompmaker J,Hjertager Krog N,Liu S,Ljungman P,Mehta A,Nagel G,Oftedal B,Pershagen G,Peters A,Raaschou-Nielsen O,Renzi M,Rodopoulou S,Samoli E,Schwarze P,Sigsgaard T,Stafoggia M,Vienneau D,Weinmayr G,Wolf K,Hoek G",Research report (Health Effects Institute),2021,9,
35814631,Cost and pollution by the use of xylene in cervical cytology in four Peruvian hospitals.,"Moya-Salazar J,Salazar-Hernández R,Rojas-Zumaran V,Cruz-Gonzales G,Contreras-Pulache H",F1000Research,2021,,
35811614,Recent advances in quantum dots-based biosensors for antibiotics detection.,"Ding R,Chen Y,Wang Q,Wu Z,Zhang X,Li B,Lin L",Journal of pharmaceutical analysis,2022,6,
35699045,"Indoor Radon Exposure and COPD, Synergic Association? A Multicentric, Hospital-Based Case-Control Study in a Radon-Prone Area.","Ruano-Ravina A,Cameselle-Lago C,Torres-Durán M,Pando-Sandoval A,Dacal-Quintas R,Valdés-Cuadrado L,Hernández-Hernández J,Consuegra-Vanegas A,Tenes-Mayén JA,Varela-Lema L,Fernández-Villar A,Barros-Dios JM,Pérez-Ríos M",Archivos de bronconeumologia,2021,10,
35690412,"DNA damage, DNA repair and carcinogenicity: Tobacco smoke versus electronic cigarette aerosol.","Tang MS,Lee HW,Weng MW,Wang HT,Hu Y,Chen LC,Park SH,Chan HW,Xu J,Wu XR,Wang H,Yang R,Galdane K,Jackson K,Chu A,Halzack E",Mutation research. Reviews in mutation research,2022,,
35669809,"Distribution and human health hazard appraisal with special reference to chromium in soils from Peenya industrial area, Bengaluru City, South India.","Ratnalu GV,Dhakate R,More S",Journal of environmental health science & engineering,2022,6,
35572410,Recent advances on endogenous gasotransmitters in inflammatory dermatological disorders.,"Wang L,Xie X,Ke B,Huang W,Jiang X,He G",Journal of advanced research,2022,5,
35493140,Application potential of biogenically synthesized silver nanoparticles using <i>Lythrum salicaria</i> L. extracts as pharmaceuticals and catalysts for organic pollutant degradation.,"Srećković NZ,Nedić ZP,Liberti D,Monti DM,Mihailović NR,Katanić Stanković JS,Dimitrijević S,Mihailović VB",RSC advances,2021,10,28
35444830,Association between Risk Factors and the Existence of Lung Malignancies in a Population from the South-West Romania: A Single-Center Study.,"Gheorghe AG,Niţu FM,Stanciu IA,Streba CT",Current health sciences journal,2021,,
35312585,"Radon, Tobacco Exposure and Non-Small Cell Lung Cancer Risk Related to BER and NER Genetic Polymorphisms.","Enjo-Barreiro JR,Ruano-Ravina A,Pérez-Ríos M,Kelsey K,Varela-Lema L,Torres-Durán M,Parente-Lamelas I,Provencio-Pulla M,Vidal-García I,Piñeiro-Lamas M,Fernández-Villar JA,Barros-Dios JM",Archivos de bronconeumologia,2022,4,
